title,ranking,year,duration,genre,rating,directors,votes
 Beast Wars: Transformers,"2,907.",(1996–1999),Desconhecido,,8.200000000000001,"J. Falconer,George Samilski,Susan Blu,Jim Byrnes,Garry Chalk,Ian James Corlett, Steve Sacks,Cal Shumiatcher,Jim Byrnes,Garry Chalk,Ian James Corlett,David Kaye, Colin Davies,Asaph Fipke,Garry Chalk,Ian James Corlett,David Kaye,Campbell Lane",619.0
 BeastMaster,"2,909.",(1999–2002),43 min,"Action, Adventure, Fantasy",7.012698412698413,"Richard Franklin,Ian 'Thistle' Thorburn,Daniel Goddard,Jeremy Callaghan,Steven Grives,Colin Handley",1832.0
 BeetleBorgs,"3,009.",(1996–1998),20 min,"Action, Adventure, Comedy",6.621621621621622,,338.0
 Benzin im Blut,"2,983.",(1999– ),Desconhecido,,,,0.0
 Berlin Break,"2,987.",(1993– ),Desconhecido,,,,0.0
 Bert D'Angelo/Superstar,"2,989.",(1976),60 min,"Action, Crime, Drama",,"Bill Bixby,William Hale,Paul Sorvino,Allison Giannini,Scott Colomby,David Huffman",0.0
 Bex &amp; Blanche,"2,992.",(1993–1994),Desconhecido,,,,0.0
 Beyond Westworld,"2,994.",(1980),60 min,"Action, Crime, Mystery",4.925,,141.0
 Big Brother VIP: México,"3,036.",(2002– ),Desconhecido,,,,0.0
 Big Guy and Rusty the Boy Robot,"3,078.",(1999–2001),Desconhecido,,,,0.0
 Big Wolf on Campus,"3,111.",(1999–2002),Desconhecido,,7.219298245614035,,1078.0
 Biker Mice from Mars,"3,138.",(1993–1996),Desconhecido,,6.9363636363636365,,413.0
 Birds of Prey,"3,217.",(2002–2003),41 min,"Action, Adventure, Drama",6.921428571428571,,1958.0
 Black Sash,"3,348.",(2003),Desconhecido,"Action, Drama",7.82,,65.0
 Black Scorpion,"3,355.",(2001),42 min,"Action, Crime, Drama",6.199999999999999,,497.0
 Black Sheep Squadron,"2,295.",(1976–1978),60 min,"Action, Adventure, Drama",7.8352941176470585,"Alex Beaton,Ivan Dixon,Robert Conrad,Simon Oakland,Dana Elcar,James Whitmore Jr.",2291.0
 Blade: The Series,578.,(2006–2023),88 min,"Action, Drama, Fantasy",6.4,,559.0
 Blitzkrieg Squadron Changeman,"5,895.",(1985–1986),Desconhecido,,,,0.0
 Blue Heelers,"3,519.",(1994–2006),Desconhecido,"Action, Crime, Drama",7.9678646934460895,"Riccardo Pellizzeri,Richard Sarell,Grant Bowler,Damian Walshe-Howling,Lisa McCune,William McInnes",5343.0
 Blue Seed,"2,078.",(1994–1995),23 min,"Animation, Action, Adventure",,"Shin'ya Sadamitsu,Jun Kamiya,Matt Greenfield,Wendy Hughes,Jason Lee,Jôji Nakata",0.0
 Blue Thunder,"3,878.",(1984),48 min,"Action, Crime, Drama",6.536363636363637,,365.0
 Bob Morane,"3,889.",(1964– ),Desconhecido,,,,0.0
 Bodyguards,"3,892.",(1996– ),45 min,Action,6.3,,46.0
 Bonkers,"3,898.",(1993–1994),Desconhecido,"Animation, Short, Action",8.238095238095237,"David Block,Eddy Houchins,Larry Latham,Jeff Bennett,Rodger Bumpass,Jodi Carlisle,Nancy Cartwright, David Block,Roy Wilson,Jim Cummings,Dorian Harewood,Billie Hayes,Chuck McCann",261.0
 Buck Rogers in the 25th Century,562.,(1979–1981),60 min,"Action, Adventure, Sci-Fi",6.619354838709679,,7017.0
 Buffy the Vampire Slayer,573.,(1997–2003),60 min,"Action, Drama, Fantasy",7.982394366197183,"Charles Martin Smith,Joss Whedon,Sarah Michelle Gellar,Nicholas Brendon,Alyson Hannigan,Charisma Carpenter",470081.0
