title,ranking,year,duration,genre,rating,directors,votes
 Digimon: Digital Monsters,"6,120.",(1999–2007),21 min,"Animation, Action, Adventure",7.884042553191488,"Takahiro Imamura,Hiroyuki Kakudo,Michael Reisz,Wendee Lee,Tifanie Christun,Laura Summer, Yukio Kaizawa,Chiaki Konaka,Brian Beacock,Steve Blum,Tifanie Christun,Brian Donovan, Yukio Kaizawa,Takenori Kawada,Brian Beacock,Steve Blum,Melissa Fahn,Michael Reisz, Kimitoshi Chioka,Yukio Kaizawa,Brian Beacock,Steve Blum,Melissa Fahn,Michael Reisz, Yukio Kaizawa,Chiaki Konaka,Hiroki Shibata,Brian Beacock,Steve Blum,Mari Devon,Brian Donovan, Yukio Kaizawa,Hiroki Shibata,Brian Beacock,Steve Blum,Melissa Fahn,Michael Reisz, Yukio Kaizawa,Chiaki Konaka,Brian Beacock,Steve Blum,Mari Devon,Brian Donovan, Yukio Kaizawa,Takenori Kawada,Brian Beacock,Steve Blum,Michael Reisz,Michelle Ruff, Hiroyuki Kakudo,Hiroki Shibata,Joshua Seth,Philece Sampler,Anna Garduno,Colleen O'Shaughnessey, Yukio Kaizawa,Takao Yoshizawa,Brian Beacock,Steve Blum,Melissa Fahn,Michael Reisz, Takahiro Imamura,Yukio Kaizawa,Takao Yoshizawa,Brian Beacock,Steve Blum,Michael Reisz,Michelle Ruff, Yukio Kaizawa,Tetsuji Nakamura,Brian Beacock,Steve Blum,Melissa Fahn,Michael Reisz, Yukio Kaizawa,Chiaki Konaka,Hiroki Shibata,Brian Beacock,Steve Blum,Tifanie Christun,Mari Devon, Yukio Kaizawa,Chiaki Konaka,Brian Beacock,Steve Blum,Brian Donovan,Mona Marshall, Takahiro Imamura,Hiroyuki Kakudo,Joshua Seth,Wendee Lee,Colleen O'Shaughnessey,Mona Marshall, Hiroyuki Kakudo,Chiaki Konaka,Tifanie Christun,Brian Donovan,Doug Erholtz,Dave Mallow, Tetsuo Imazawa,Hiroyuki Kakudo,Joshua Seth,Michael Reisz,Philece Sampler,Wendee Lee,« Previous,Next »,TV Episodes,Action,Adventure,Drama,Comedy,Animation,Fantasy,Sci-Fi,Family,Crime,Thriller,Romance,Mystery,Sport,Game-Show,Music,Horror,History,War,Short,Reality-TV,Western,Talk-Show,Biography,Documentary,Musical,News,<svg version=""1.1"" id=""Layer_1"" xmlns=""http://www.w3.org/2000/svg"" x=""0px"" y=""0px"" viewBox=""0 0 30 14"" class=""sc-bcXHqe xhbNo"", Takahiro Imamura,Yukio Kaizawa,Brian Beacock,Steve Blum,Melissa Fahn,Michael Reisz, Mamoru Hosoda,Hiroyuki Kakudo,Joshua Seth,Philece Sampler,Mona Marshall,Tom Fahn, Yukio Kaizawa,Takenori Kawada,Chiaki Konaka,Brian Beacock,Steve Blum,Tifanie Christun,Mari Devon, Hiroyuki Kakudo,Hiroki Shibata,Joshua Seth,Wendee Lee,Colleen O'Shaughnessey,Mona Marshall, Tetsuo Imazawa,Hiroyuki Kakudo,Joshua Seth,Michael Reisz,Philece Sampler,Wendee Lee, Yukio Kaizawa,Hiroyuki Kakudo,Brian Beacock,Steve Blum,Melissa Fahn,Michael Reisz,« Previous,Next »,TV Episodes,Action,Adventure,Drama,Comedy,Animation,Fantasy,Sci-Fi,Family,Crime,Thriller,Romance,Mystery,Sport,Game-Show,Music,Horror,History,War,Short,Reality-TV,Western,Talk-Show,Biography,Documentary,Musical,News,<svg version=""1.1"" id=""Layer_1"" xmlns=""http://www.w3.org/2000/svg"" x=""0px"" y=""0px"" viewBox=""0 0 30 14"" class=""sc-bcXHqe xhbNo"", Yukio Kaizawa,Hiroyuki Kakudo,Brian Beacock,Steve Blum,Melissa Fahn,Michael Reisz, Tetsuo Imazawa,Hiroyuki Kakudo,Hiroki Shibata,Michael Reisz,Tifanie Christun,Colleen O'Shaughnessey,Michael Lindsay, Yukio Kaizawa,Hiroki Shibata,Brian Beacock,Steve Blum,Michael Reisz,Michelle Ruff, Tetsuo Imazawa,Hiroyuki Kakudo,Joshua Seth,Michael Reisz,Wendee Lee,Kirk Thornton, Hiroyuki Kakudo,Hiroki Shibata,Joshua Seth,Mona Marshall,Jeff Nimoy,Lara Jill Miller, Hiroyuki Kakudo,Takenori Kawada,Joshua Seth,Michael Reisz,Philece Sampler,Wendee Lee, Hiroyuki Kakudo,Harume Kosaka,Joshua Seth,Michael Reisz,Philece Sampler,Wendee Lee, Takahiro Imamura,Tetsuo Imazawa,Hiroyuki Kakudo,Joshua Seth,Michael Reisz,Philece Sampler,Wendee Lee, Yukio Kaizawa,Hiroyuki Kakudo,Brian Beacock,Steve Blum,Michael Reisz,Michelle Ruff, Hiroyuki Kakudo,Hiroki Shibata,Joshua Seth,Michael Reisz,Philece Sampler,Wendee Lee, Takahiro Imamura,Hiroyuki Kakudo,Joshua Seth,Michael Reisz,Philece Sampler,Wendee Lee, Yukio Kaizawa,Chiaki Konaka,Brian Beacock,Steve Blum,Tifanie Christun,Mari Devon, Yukio Kaizawa,Chiaki Konaka,Brian Donovan,Brian Beacock,Steve Blum,Mari Devon, Yukio Kaizawa,Takenori Kawada,Chiaki Konaka,Brian Beacock,Steve Blum,Tifanie Christun,Brian Donovan, Hiroyuki Kakudo,Takenori Kawada,Joshua Seth,Michael Reisz,Kirk Thornton,Michael Lindsay, Yukio Kaizawa,Takenori Kawada,Chiaki Konaka,Steve Blum,Mari Devon,Brian Donovan,Melissa Fahn",17781.0
 Dinosaucers,"6,254.",(1987),23 min,"Animation, Action, Comedy",,,0.0
 Dirty Pair,51.,(1985–1988),23 min,"Animation, Action, Adventure",6.22,"Mamoru Hamatsu,Toshifumi Takizawa,Jessica Calvello,Pam Lauer,Saeko Shimazu,Kyôko Tongû, Toshifumi Takizawa,Takashi Tanazawa,Jessica Calvello,Pam Lauer,Saeko Shimazu,Kyôko Tongû, Takaya Mizutani,Toshifumi Takizawa,Jessica Calvello,Pam Lauer,Saeko Shimazu,Kyôko Tongû, Masahisa Ishida,Toshifumi Takizawa,Jessica Calvello,Pam Lauer,Saeko Shimazu,Kyôko Tongû, Kazuhito Kikuchi,Toshifumi Takizawa,Jessica Calvello,Pam Lauer,Saeko Shimazu,Kyôko Tongû, Mitsuko Kase,Toshifumi Takizawa,Kyôko Tongû,Saeko Shimazu,Naoki Makishima,Ikuya Sawaki, Yukihiro Shino,Toshifumi Takizawa,Jessica Calvello,Pam Lauer,Saeko Shimazu,Kyôko Tongû",166.0
 Dirty Pair OVA,66.,(1987– ),24 min,"Animation, Short, Action",6.9,,10.0
 Distretto di polizia,"6,255.",(2000–2012),Desconhecido,,,,0.0
 Donkey Kong Country,"6,256.",(1997–2000),22 min,"Animation, Action, Adventure",6.6,,14.0
 Double the Fist,"6,257.",(2004–2008),26 min,"Action, Comedy, Fantasy",6.2,"Craig Anderson,Bryan Moses,Craig Anderson,Bryan Moses,Tony Walters,Neridah Waters, Craig Anderson,Bryan Moses,Craig Anderson,Bryan Moses,Doug Bayne,Tony Walters",36.0
 Dragon Ball,"6,264.",(1995–2003),24 min,"Animation, Action, Adventure",7.35,,796.0
 Dragon Ball Z,195.,(1989–1996),24 min,"Animation, Action, Adventure",7.92,,7564.0
 Dragon Booster,"6,273.",(2004–2006),20 min,"Adventure, Action, Animation",8.07,,100.0
 Duarte &amp; C.a,"6,285.",(1985–1989),Desconhecido,,,,0.0
 Duck Dodgers,"6,286.",(2003–2005),23 min,"Animation, Short, Action",8.323684210526315,"Spike Brandt,Tony Cervone,Joe Alaskey,Bob Bergen,Richard McGonagle,Carlos Alazraqui, Spike Brandt,Tony Cervone,Joe Alaskey,Bob Bergen,Richard McGonagle,John DiMaggio, Spike Brandt,Tony Cervone,Joe Alaskey,Bob Bergen,Michael Dorn,Frank Welker, Spike Brandt,Tony Cervone,Joe Alaskey,Bob Bergen,Richard McGonagle,Bruce Campbell, Spike Brandt,Tony Cervone,Joe Alaskey,Carlos Alazraqui,Dick Beals,Jeff Bennett,« Previous,Next »,TV Episodes,Action,Adventure,Drama,Comedy,Animation,Fantasy,Sci-Fi,Family,Crime,Thriller,Romance,Mystery,Sport,Game-Show,Music,Horror,History,War,Short,Reality-TV,Western,Talk-Show,Biography,Documentary,Musical,News,<svg version=""1.1"" id=""Layer_1"" xmlns=""http://www.w3.org/2000/svg"" x=""0px"" y=""0px"" viewBox=""0 0 30 14"" class=""sc-bcXHqe xhbNo"", Spike Brandt,Tony Cervone,Joe Alaskey,Bob Bergen,Loni Anderson,Lewis Black, Spike Brandt,Tony Cervone,Joe Alaskey,Bob Bergen,Tia Carrere,S. Scott Bullock, Spike Brandt,Tony Cervone,Joe Alaskey,Bob Bergen,Tim Curry,Michael Dorn, Spike Brandt,Tony Cervone,Bob Bergen,Richard McGonagle,Joe Alaskey,Tia Carrere, Spike Brandt,Tony Cervone,Joe Alaskey,Jeff Bennett,Paget Brewster,Michael Dorn, Spike Brandt,Tony Cervone,Joe Alaskey,Richard McGonagle,Dave Mustaine, Spike Brandt,Tony Cervone,Joe Alaskey,Bob Bergen,Stacey Dash,Michael Dorn, Spike Brandt,Tony Cervone,Joe Alaskey,Bob Bergen,Richard McGonagle,Tia Carrere, Spike Brandt,Tony Cervone,Joe Alaskey,Bob Bergen,Lucille Bliss,Jim Cummings, Spike Brandt,Tony Cervone,Joe Alaskey,Bob Bergen,Richard McGonagle,Michael Dorn, Spike Brandt,Tony Cervone,Joe Alaskey,Bob Bergen,June Foray,S. Scott Bullock, Spike Brandt,Tony Cervone,Joe Alaskey,Bob Bergen,Brian Wilson,John DiMaggio, Spike Brandt,Tony Cervone,Joe Alaskey,Bob Bergen,Tia Carrere,Tom Kenny, Spike Brandt,Tony Cervone,Joe Alaskey,Bob Bergen,Richard McGonagle,John de Lancie, Spike Brandt,Tony Cervone,Joe Alaskey,Bob Bergen,Jeff Bennett,Edward Asner, Spike Brandt,Tony Cervone,Joe Alaskey,Tom Kane,Tom Kenny,John O'Hurley, Spike Brandt,Tony Cervone,Joe Alaskey,Bob Bergen,Richard McGonagle,Clancy Brown, Spike Brandt,Tony Cervone,Joe Alaskey,Tisha Terrasini Banker,Dustin Diamond,Richard McGonagle, Spike Brandt,Tony Cervone,Joe Alaskey,Bob Bergen,Tia Carrere,Richard McGonagle, Spike Brandt,Tony Cervone,Joe Alaskey,Bob Bergen,Richard McGonagle,Macy Gray",2677.0
 DuckTales,481.,(1987–1990),23 min,"Animation, Action, Adventure",7.561111111111113,"Steve Clark,Terence Harrison,Alan Zaslove,Tony Anselmo,Peter Cullen,Jim Cummings,Joan Gerber, James T. Walker,Bob Hathcock,Susan Blu,Victoria Carroll,Joan Gerber,Charles Pierce",3925.0
 E-Ring,"6,483.",(2005–2006),Desconhecido,"Action, Drama, Thriller",7.600000000000001,,471.0
 Earth: Final Conflict,"6,528.",(1997–2002),43 min,"Action, Drama, Mystery",6.614953271028037,"Bruce Pittman,Milan Cheylov,Kevin Kilner,Lisa Howard,Von Flores,Richard Chevolleau, James Head,Neill Fearnley,Robert Leeshock,Lisa Howard,Von Flores,Richard Chevolleau, James Head,Ross Clyde,Robert Leeshock,Lisa Howard,Von Flores,Richard Chevolleau,« Previous,Next »,TV Episodes,Action,Adventure,Drama,Comedy,Animation,Fantasy,Sci-Fi,Family,Crime,Thriller,Romance,Mystery,Sport,Game-Show,Music,Horror,History,War,Short,Reality-TV,Western,Talk-Show,Biography,Documentary,Musical,News,<svg version=""1.1"" id=""Layer_1"" xmlns=""http://www.w3.org/2000/svg"" x=""0px"" y=""0px"" viewBox=""0 0 30 14"" class=""sc-bcXHqe xhbNo"", Neill Fearnley,William Gereghty,Robert Leeshock,Lisa Howard,Von Flores,Richard Chevolleau, Ross Clyde,Brett Dowler,Robert Leeshock,Lisa Howard,Von Flores,Richard Chevolleau, Allan Kroeker,Neill Fearnley,Robert Leeshock,Lisa Howard,Von Flores,Richard Chevolleau, Ross Clyde,Vincenzo Natali,Robert Leeshock,Lisa Howard,Von Flores,Richard Chevolleau, Stephen Williams,Damian Kindler,Kevin Kilner,Lisa Howard,Von Flores,Richard Chevolleau, Brett Dowler,James Head,Robert Leeshock,Lisa Howard,Von Flores,Richard Chevolleau, Milan Cheylov,Tibor Takács,Kevin Kilner,Lisa Howard,Von Flores,Richard Chevolleau",5632.0
 Eastern Championship Wrestling,"6,498.",(1993–2000),Desconhecido,,,,0.0
 El club de Los Tigritos,"4,978.",(1994– ),Desconhecido,,,,0.0
 El comisario,"5,304.",(1999–2009),Desconhecido,"Action, Adventure, Crime",6.4,"Javier Mora,Jesús Mora,Tito Valverde,Juanjo Artero,Tristán Ulloa,Marcial Álvarez",7.0
 El gordo y la flaca,"8,160.",(1998– ),Desconhecido,,,,0.0
 Elsö generáció,"6,608.",(2001– ),Desconhecido,,,,0.0
 Emergency!,225.,(1972–1979),60 min,"Action, Adventure, Comedy",8.366935483870968,"Robert A. Cinader,Randolph Mantooth,Randolph Mantooth,Kevin Tighe,Julie London,Robert Fuller",11297.0
 Empire,"6,734.",(1984),30 min,"Action, Musical",,,0.0
 Enos,"6,735.",(1980–1981),Desconhecido,"Action, Comedy",8.5,,7.0
 Eugenie Sandler P.I.,"6,936.",(2000),Desconhecido,,,,0.0
 Everglades!,"6,943.",(1961–1962),30 min,"Action, Adventure, Crime",,,0.0
 Extreme Dinosaurs,"6,951.",(1997),21 min,"Animation, Action, Adventure",,,0.0
 Extreme Ghostbusters,"6,952.",(1997),21 min,"Animation, Action, Adventure",6.630769230769231,"Christopher Berkeley,Chris Dozois,Tara Strong,Maurice LaMarche,Jason Marsden,Pat Musick, Tim Eldred,Bob Fuentes III,Tara Strong,Maurice LaMarche,Jason Marsden,Alfonso Ribeiro, Gloria Jenkins,Scott Wood,Tara Strong,Maurice LaMarche,Jason Marsden,Pat Musick, Tim Eldred,Bob Fuentes III,Tara Strong,Maurice LaMarche,Jason Marsden,Pat Musick",1473.0
 F/X: The Series,"6,992.",(1996–1998),Desconhecido,"Action, Crime, Drama",7.7727272727272725,,280.0
 Fantastic Four,"7,198.",(1967–1968),30 min,"Animation, Action, Adventure",7.25,"Joseph Barbera,William Hanna,Gerald Mohr,Jo Ann Pflug,Jack DeLeon,Paul Frees",64.0
 Fantastic Four: The Animated Series,"7,200.",(1994–1996),21 min,"Animation, Action, Sci-Fi",6.880769230769231,"Larry Houston,Tom Tataranowicz,Beau Weaver,Lori Alan,Quinton Flynn,Chuck McCann, Larry Houston,Ernesto Lopez,Graham Morris,Tom Tataranowicz,Beau Weaver,Lori Alan,Quinton Flynn,Chuck McCann, Larry Houston,Ernesto Lopez,Tom Tataranowicz,Beau Weaver,Lori Alan,Quinton Flynn,Chuck McCann",2881.0
 Farscape,"7,226.",(1999–2003),46 min,"Action, Adventure, Drama",7.66,"Tony Tilse,Rowan Woods,Ben Browder,Claudia Black,Virginia Hey,Anthony Simcoe, Andrew Prowse,Tony Tilse,Ben Browder,Claudia Black,Virginia Hey,Anthony Simcoe",63874.0
 Fastlane,"7,312.",(2002–2003),44 min,"Action, Comedy, Crime",7.85,,1216.0
 Fata Morgana,"7,334.",(2004– ),Desconhecido,,,,0.0
 Faust,"7,344.",(1994–1997),58 min,"Action, Crime",5.369230769230769,,105.0
 Fear Factor,"7,359.",(2001–2002),Desconhecido,,,,0.0
 Fillmore!,"7,373.",(2002–2004),23 min,"Action, Animation, Comedy",7.809090909090909,,283.0
 Flash Gordon,"7,384.",(1954–1955),Desconhecido,"Action, Adventure, Family",5.533333333333334,,62.0
 Flatland,"7,408.",(2002),Desconhecido,"Action, Drama, Mystery",,,0.0
 Flikken,"7,412.",(1999–2009),Desconhecido,,7.950588235294117,"Dirk Corthout,Mark De Geest,Peter Rondou,Andrea Croonenberghs,Joke Devynck,Axel Daeseleire,Cahit Ölmez, Ludo Busschots,Dirk Corthout,Andrea Croonenberghs,Joke Devynck,Axel Daeseleire,Cahit Ölmez,« Previous,Next »,TV Episodes,Action,Adventure,Drama,Comedy,Animation,Fantasy,Sci-Fi,Family,Crime,Thriller,Romance,Mystery,Sport,Game-Show,Music,Horror,History,War,Short,Reality-TV,Western,Talk-Show,Biography,Documentary,Musical,News,<svg version=""1.1"" id=""Layer_1"" xmlns=""http://www.w3.org/2000/svg"" x=""0px"" y=""0px"" viewBox=""0 0 30 14"" class=""sc-bcXHqe xhbNo""",1231.0
 Flipper,"7,499.",(1995–2000),44 min,"Action, Adventure, Drama",5.164285714285714,,255.0
 Floris,485.,(1969),30 min,"Action, Adventure, History",6.908333333333334,,536.0
 Fortune Hunter,"7,527.",(1994– ),Desconhecido,,,,0.0
 François Kléber,"7,540.",(1995– ),Desconhecido,,,,0.0
 Freakazoid!,"7,546.",(1995–1997),22 min,"Animation, Short, Action",7.956521739130435,"Rich Arons,Peter Shin,Paul Rugg,Edward Asner,Tress MacNeille,David Kaufman, Ronnie Del Carmen,Scott Jeralds,Dan Riba,Jack Heiter,Eric Radomski,Paul Rugg,David Kaufman,Tracy Rowe,Tress MacNeille, Jack Heiter,Scott Jeralds,Eric Radomski,Dan Riba,Paul Rugg,Stan Freberg,Jeff Bennett,Tress MacNeille, Jack Heiter,Eric Radomski,Dan Riba,Ronnie Del Carmen,Scott Jeralds,Paul Rugg,David Kaufman,Tress MacNeille,John P. McCann, Ronnie Del Carmen,Jack Heiter,Scott Jeralds,Eric Radomski,Dan Riba,Paul Rugg,Tracy Rowe,Jeff Bennett,Edward Asner, Ronnie Del Carmen,Jack Heiter,Scott Jeralds,Eric Radomski,Dan Riba,Paul Rugg,Frank Welker,Jeff Bennett,Rob Paulsen, Jack Heiter,Scott Jeralds,Eric Radomski,Dan Riba,Paul Rugg,Ricardo Montalban,Craig Ferguson,Tress MacNeille, Rich Arons,Jack Heiter,Paul Rugg,David Warner,Tress MacNeille,Dorian Harewood, Rich Arons,David Marshall,Paul Rugg,Edward Asner,John P. McCann,Tress MacNeille, Rich Arons,David Marshall,Paul Rugg,Edward Asner,Jonathan Harris,Tracy Rowe, Jack Heiter,Scott Jeralds,Eric Radomski,Dan Riba,Paul Rugg,Ricardo Montalban,Jack Valenti,Craig Ferguson, Jack Heiter,Eric Radomski,Scott Jeralds,Dan Riba,Paul Rugg,David Warner,Clive Revill,Tress MacNeille, Scott Jeralds,Eric Radomski,Dan Riba,Ronnie Del Carmen,Jack Heiter,Paul Rugg,David Kaufman,Jim Cummings,Tress MacNeille, Rich Arons,David Marshall,Paul Rugg,Edward Asner,Jonathan Harris,Norm Abram, Scott Jeralds,Eric Radomski,Dan Riba,Ronnie Del Carmen,Jack Heiter,Paul Rugg,David Kaufman,Tracy Rowe,Tress MacNeille, Rich Arons,Jack Heiter,Paul Rugg,Edward Asner,Jeff Bennett,Frank Welker, Ronnie Del Carmen,Jack Heiter,Scott Jeralds,Eric Radomski,Dan Riba,Paul Rugg,Edward Asner,David Warner,Ben Stein",1491.0
 Frederick Forsyth Presents,77.,(1989– ),97 min,"Action, Thriller",6.0,,104.0
 Freedom,"7,570.",(2000–2001),Desconhecido,"Sci-Fi, Drama, Action",8.8,,8.0
 Front ohne Gnade,"7,599.",(1984),60 min,"War, Drama, Action",,,0.0
 Fullmetal Alchemist,"8,243.",(2003–2004),24 min,"Animation, Action, Adventure",7.857142857142857,"Seiji Mizushima,Kenji Yasuda,Yasuhiro Irie,Norimitsu Suzuki,Vic Mignogna,Aaron Dismuke,Andy Mullins,Colleen Clinkenbeard, Seiji Mizushima,Atsushi Otsuki,Tomoki Kyôda,Norimitsu Suzuki,Vic Mignogna,Aaron Dismuke,Travis Willingham,Dameon Clarke, Seiji Mizushima,Kentaro Nakamura,Yasuhiro Irie,Norimitsu Suzuki,Vic Mignogna,Aaron Dismuke,Caitlin Glass,Juli Erickson, Seiji Mizushima,Kazuki Tsunoda,Yasuhiro Irie,Norimitsu Suzuki,Vic Mignogna,Aaron Dismuke,Bill Flynn,Justin Cook, Seiji Mizushima,Shigeru Ueda,Yasuhiro Irie,Norimitsu Suzuki,Vic Mignogna,Aaron Dismuke,Sonny Strait,Travis Willingham, Jôhei Matsuura,Seiji Mizushima,Yasuhiro Irie,Norimitsu Suzuki,Vic Mignogna,Aaron Dismuke,Sonny Strait,Travis Willingham, Masahiro Andô,Seiji Mizushima,Yasuhiro Irie,Norimitsu Suzuki,Vic Mignogna,Aaron Dismuke,Travis Willingham,Sonny Strait, Seiji Mizushima,Tamaki Nakatsu,Tomoki Kyôda,Norimitsu Suzuki,Vic Mignogna,Aaron Dismuke,Caitlin Glass,Dameon Clarke, Tarô Iwasaki,Seiji Mizushima,Tomoki Kyôda,Norimitsu Suzuki,Vic Mignogna,Aaron Dismuke,Christopher Sabat,Bill Jenkins, Seiji Mizushima,Atsushi Otsuki,Yasuhiro Irie,Norimitsu Suzuki,Vic Mignogna,Aaron Dismuke,Caitlin Glass,Travis Willingham, Seiji Mizushima,Masahiro Andô,Norimitsu Suzuki,Vic Mignogna,Aaron Dismuke,Caitlin Glass,Bill Townsley, Shingo Kaneko,Seiji Mizushima,Yasuhiro Irie,Norimitsu Suzuki,Vic Mignogna,Aaron Dismuke,Travis Willingham,Caitlin Glass, Masakazu Hashimoto,Seiji Mizushima,Yasuhiro Irie,Norimitsu Suzuki,Vic Mignogna,Aaron Dismuke,Luci Christian,Mark Stoddard, Seiji Mizushima,Kenji Yasuda,Yasuhiro Irie,Norimitsu Suzuki,Vic Mignogna,Aaron Dismuke,Chuck Huber,Brina Palencia, Seiji Mizushima,Kazuki Tsunoda,Yasuhiro Irie,Norimitsu Suzuki,Vic Mignogna,Aaron Dismuke,Caitlin Glass,Juli Erickson, Yoshito Hata,Seiji Mizushima,Yasuhiro Irie,Norimitsu Suzuki,Vic Mignogna,Aaron Dismuke,Sonny Strait,Jerry Jewell,« Previous,Next »,TV Episodes,Action,Adventure,Drama,Comedy,Animation,Fantasy,Sci-Fi,Family,Crime,Thriller,Romance,Mystery,Sport,Game-Show,Music,Horror,History,War,Short,Reality-TV,Western,Talk-Show,Biography,Documentary,Musical,News,<svg version=""1.1"" id=""Layer_1"" xmlns=""http://www.w3.org/2000/svg"" x=""0px"" y=""0px"" viewBox=""0 0 30 14"" class=""sc-bcXHqe xhbNo"", Masakazu Amiya,Seiji Mizushima,Yasuhiro Irie,Norimitsu Suzuki,Vic Mignogna,Aaron Dismuke,Justin Cook,Adam Rice, Masakazu Hashimoto,Seiji Mizushima,Tomoki Kyôda,Norimitsu Suzuki,Vic Mignogna,Aaron Dismuke,Travis Willingham,Dameon Clarke, Seiji Mizushima,Kenji Yasuda,Tomoki Kyôda,Norimitsu Suzuki,Vic Mignogna,Aaron Dismuke,Travis Willingham,Dameon Clarke, Tarô Iwasaki,Seiji Mizushima,Tomoki Kyôda,Norimitsu Suzuki,Vic Mignogna,Aaron Dismuke,Travis Willingham,Dameon Clarke",11905.0
 Future Cop,"7,626.",(1976–1977),50 min,"Action, Crime, Drama",7.633333333333333,,30.0
 G.I. Joe,"7,651.",(1985–1986),22 min,"Animation, Action, Adventure",6.833333333333333,"John Gibbs,Terry Lennon,Jackson Beck,Arthur Burghardt,Wally Burr,Christopher Collins, John Gibbs,Terry Lennon,Jackson Beck,Michael Bell,Gregg Berger,Wally Burr, John Gibbs,Terry Lennon,Jackson Beck,Michael Bell,Arthur Burghardt,Christopher Collins, John Gibbs,Terry Lennon,Jackson Beck,Michael Bell,Arthur Burghardt,François Chau",295.0
 GTO: Great Teacher Onizuka,"7,657.",(1998),Desconhecido,,8.6,,26.0
 Galidor: Defenders of the Outer Dimension,"7,658.",(2002),Desconhecido,,,,0.0
 Gargoyles,"7,703.",(1994–1997),22 min,"Animation, Action, Adventure",7.639583333333334,"Takamitsu Kawamura,Kazuo Terada,Brigitte Bako,Clancy Brown,Keith David,Jonathan Frakes, Saburo Hashimoto,Kazuo Terada,Thom Adcox-Hernandez,Edward Asner,Jeff Bennett,Rocky Carroll, Takamitsu Kawamura,Kazuo Terada,Keith David,Salli Richardson-Whitfield,Jonathan Frakes,Edward Asner, Saburo Hashimoto,Kazuo Terada,Thom Adcox-Hernandez,Edward Asner,Jeff Bennett,Keith David, Saburo Hashimoto,Kazuo Terada,Keith David,Salli Richardson-Whitfield,Jonathan Frakes,Edward Asner, Saburo Hashimoto,Kazuo Terada,Keith David,Marina Sirtis,Ed Gilbert,Edward Asner, Takamitsu Kawamura,Kazuo Terada,Thom Adcox-Hernandez,Brigitte Bako,Jesse Corti,Keith David, Saburo Hashimoto,Kazuo Terada,Keith David,Salli Richardson-Whitfield,Jonathan Frakes,Marina Sirtis",9736.0
 Gargoyles: The Goliath Chronicles,"7,752.",(1996–1997),21 min,"Animation, Action, Crime",6.984615384615383,,835.0
 Gegen den Wind,"7,765.",(1995–1999),48 min,Action,6.4,,8.0
 Geisterjäger John Sinclair,"7,767.",(2000– ),46 min,"Action, Fantasy, Horror",3.9374999999999996,"Robert Sigl,Bernd Fiedler,Kai Maertens,Jana Hora-Goosmann,Urs Remond,Birgit Stojanov",126.0
 Gemini Man,"7,775.",(1976),60 min,"Action, Adventure, Sci-Fi",6.555555555555555,"Alan Crosland Jr.,Andy Sidaris,Ben Murphy,William Sylvester,Katherine Crawford,Tony Burton",164.0
 Get Smart,"7,854.",(1965–1970),25 min,"Action, Adventure, Comedy",7.704444444444445,,22551.0
 Godzilla: The Series,"8,002.",(1998–2001),21 min,"Animation, Action, Crime",6.81304347826087,"David Hartman,Frank Squillace,Ian Ziering,Malcolm Danare,Rino Romano,Tom Kenny, Nathan Chew,David Hartman,Ian Ziering,Malcolm Danare,Rino Romano,Charity James, Alan Caldwell,David Hartman,Ian Ziering,Malcolm Danare,Rino Romano,Charity James, David Hartman,Frank Squillace,Ian Ziering,Malcolm Danare,Rino Romano,Charity James",1003.0
 Good vs Evil,"7,650.",(1999–2000),Desconhecido,,8.49047619047619,"Jonas Pate,Josh Pate,Clayton Rohner,Richard Brooks,Googy Gress,Marshall Bell",588.0
 Guerra de los sexos,"8,232.",(2000–2013),Desconhecido,,,,0.0
 Gunparade March,"8,234.",(2003– ),Desconhecido,,,"Yasuhiro Irie,Katsushi Sakurabi,Akira Ishida,Akemi Okamura,Akio Suyama,Shôto Kashii, Matsuo Asami,Katsushi Sakurabi,Akira Ishida,Akemi Okamura,Akio Suyama,Shôto Kashii, Ken'ichirô Watanabe,Katsushi Sakurabi,Akira Ishida,Akemi Okamura,Akio Suyama,Shôto Kashii",0.0
 Gunslinger Girl,"8,237.",(2003–2004),23 min,"Animation, Action, Drama",7.033333333333334,,107.0
 Hamburg Transit,"8,265.",(1970–1974),24 min,"Action, Adventure, Crime",6.40625,,99.0
 Harbor Command,"8,281.",(1957–1958),30 min,Action,6.557142857142857,,53.0
 Hard Time on Planet Earth,"8,320.",(1989),Desconhecido,,7.808333333333334,,157.0
 Hardball,"8,332.",(1989–1990),Desconhecido,"Action, Crime, Drama",6.466666666666668,,19.0
 Hardcastle and McCormick,"8,415.",(1983–1986),Desconhecido,"Action, Crime, Drama",7.336923076923076,,2159.0
 Harry O,"8,417.",(1973–1976),Desconhecido,"Action, Crime, Drama",7.675000000000001,,1880.0
 Harsh Realm,"8,466.",(1999–2000),Desconhecido,"Action, Drama, Mystery",7.4125,,643.0
 Hart to Hart,"8,469.",(1979–1984),60 min,"Action, Adventure, Crime",7.432407407407408,,11861.0
 Hawaii,"8,578.",(2004),Desconhecido,,8.2,,20.0
 Hawaiian Eye,"8,670.",(1959–1963),60 min,"Action, Adventure, Crime",7.368992248062015,,1819.0
